# header s,s,s,s,s,s,s,s,s,s,s,s,s,s
Image Name,Date,Refractive Index,Cell Line Name,Staining Ch0,Sir Tag,Thresholded Tag,Image Number,Label Ch0,Characteristics [Organism],Term Source 1 REF,Term Source 1 URL,Tissue,Genotype
20191214_RI508_Embryo_DAPI_SIR_THR_19.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,19,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_2.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,2,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_11.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,11,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_8.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,8,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_4.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,4,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_5.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,5,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_15.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,15,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_7.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,7,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_3.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,3,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
20191214_RI508_Embryo_DAPI_SIR_THR_17.ome.tiff,20191214,RI508,Embryo,DAPI,SIR,THR,17,DAPI,Drosophila melanogaster ,7227,http://purl.obolibrary.org/obo/NCBITaxon_7227,Embryo-Y-GFP-male,"y[1], w[67c23];Dp(1;Y), y[+] P{ry+11} P{w[+mC]=ActGFP}JMR1"
