,Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,overlap_fraction,distance_x,distance_y,distance_z,distance3d,distance_units
0,20180329_RI510_ESC_12_11_SIR_2C_ALN_THR_1.ome.tiff,0.0,domain,1.0,568.0,568.0,19.527448798307567,23.850352112676056,26.026408450704224,23.931338028169016,23.836934822113303,26.49316587060595,23.27551649612207,10.275033294317662,65535.0,21462.417253521126,9262.0,0.5483809433134383,0.6147186147186147,0.1136,micron^3,,,,,,
1,20180329_RI510_ESC_12_11_SIR_2C_ALN_THR_1.ome.tiff,0.0,subdomain,2.0,417.0,417.0,16.017390989057144,24.13429256594724,26.575539568345324,22.750599520383695,24.01025989969585,26.9345235352545,22.3898677743369,,65535.0,23940.613908872903,9262.0,,,0.0834,micron^3,,,,,,
2,20180329_RI510_ESC_12_11_SIR_2C_ALN_THR_1.ome.tiff,1.0,domain,1.0,497.0,497.0,25.933293840807153,25.474849094567404,20.93963782696177,23.440643863179073,25.514420210082108,20.92239353309914,23.52695944793947,9.827715796362382,47088.0,18598.841046277666,7990.0,0.46212535754324396,0.565415244596132,0.0994,micron^3,,,,,,
3,20180329_RI510_ESC_12_11_SIR_2C_ALN_THR_1.ome.tiff,1.0,subdomain,2.0,213.0,213.0,11.416838573028897,25.577464788732396,22.220657276995304,23.64788732394366,25.55824957747622,22.298173508701236,23.7037518855335,,47088.0,19433.859154929578,8150.0,,,0.0426,micron^3,,,,,,
4,20180329_RI510_ESC_12_11_SIR_2C_ALN_THR_1.ome.tiff,,overlap,1.0,209.0,209.0,,24.660287081339714,25.29665071770335,24.177033492822968,,,,,,,,,,0.041800000000000004,micron^3,0.24415887850467288,0.010057718072695962,0.2228308935002724,0.20968567349610057,0.3061418730923179,micron
5,20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_3.ome.tiff,1.0,domain,1.0,400.0,400.0,19.808259100545218,13.9925,17.6475,10.35,14.24335221807409,17.598928687423953,10.76312164002928,9.141562994681664,55866.0,18050.2875,8751.0,0.4436569841003547,0.5706134094151213,0.08,micron^3,,,,,,
6,20180723_RI510_ESC_51b_51a_SIR_2C_ALN_THR_3.ome.tiff,1.0,subdomain,2.0,240.0,240.0,9.859111308618044,14.995833333333334,17.5875,12.725,15.099738134722305,17.546878061775143,12.798366807547142,,55866.0,20349.204166666666,8751.0,,,0.048,micron^3,,,,,,
7,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_65.ome.tiff,0.0,domain,1.0,894.0,894.0,26.749996421618864,15.649888143176733,29.013422818791945,31.83668903803132,15.551707010724702,28.389539306708535,31.671892074862253,11.952157262983658,65535.0,23729.846756152125,11208.0,0.5851820544831964,0.637660485021398,0.17880000000000001,micron^3,,,,,,
8,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_65.ome.tiff,0.0,subdomain,2.0,543.0,543.0,14.51208284694094,14.94475138121547,24.806629834254142,32.22836095764273,14.899609595921959,24.64518628247855,31.96955116817935,,65535.0,25503.160220994476,11208.0,,,0.1086,micron^3,,,,,,
9,20190405_RI510_ESC_101_103_SIR_2C_ALN_THR_65.ome.tiff,0.0,subdomain,3.0,351.0,351.0,17.433667327477774,16.74074074074074,35.52136752136752,31.23076923076923,16.77761775401299,35.4287369708429,31.112307767285657,,41317.0,20986.51566951567,11567.0,,,0.0702,micron^3,,,,,,
