on,A565_volume,A565_principal_axis,A565_sphericity,A565_CND_number,A565_CND_mean_volume,overlap_fraction,distance
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_10,0.1854,1.354461455,0.625982083,6,0.027,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_11,0.1486,1.295509626,0.603634517,3,0.044533333,0.162699822,0.219979603
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_12,0.1278,1.060957375,0.705603866,2,0.0534,0,0.666550331
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_13,0.1578,1.31522293,0.628655616,3,0.044,0.268191268,0.369673377
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_14,0.0858,0.953330099,0.729288599,3,0.0254,0.222106361,0.216799519
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_15,0.1564,1.287186436,0.673395119,5,0.0254,0.236429433,0.212833024
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_16,0.2016,1.367972874,0.613418523,7,0.021714286,0.142120344,0.283065398
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_17,0.1136,1.117937028,0.742211913,2,0.0437,0.136021873,0.286586019
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_19,0.181,1.625899928,0.597487703,5,0.031,0.095370887,0.431852123
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_1,0.0786,0.998958061,0.747066663,2,0.0349,0.024606972,0.51537082
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_20,0.1506,1.270910773,0.645478811,3,0.0474,0.153571429,0.150124937
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_21,0.1474,1.150177735,0.809993615,4,0.03015,0.153268219,0.325962547
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_22,0.2296,1.531294186,0.590107155,6,0.0344,0.100779221,0.526183043
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_23,0.1288,1.127517844,0.641058431,4,0.0271,0.044678055,0.43241713
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_24,0.2754,1.691572962,0.492881278,12,0.018966667,0,0.922598954
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_25,0.1828,1.300932367,0.630486858,4,0.0383,0.165759226,0.291514075
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_26,0.1578,1.311942705,0.658962375,4,0.03325,0.230081906,0.222327979
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_27,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_28,0.1266,1.223052777,0.654639951,3,0.039933333,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_29,0.1596,1.414860505,0.630321148,5,0.0262,0.188436831,0.374305628
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_2,0.1592,1.360825537,0.642633988,2,0.0729,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_30,0.1658,1.378711158,0.586387606,5,0.02732,0.117427076,0.183486045
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_32,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190721_RI512_CTCF-AID_AUX_102a_101_SIR_2C_ALN_THR_33,0.1596,1.578485828,0.580328369,6,0.0229,0.147204969,0.381135605
